Description model^Car make^Sub category^category path^SKU-CAR^SKU-MODEL^Roof bars mounting^body type^^Bol car models^Variants
RDX I^Acura^RDX I | 2007-2012^Acura[RDX I | 2007-2012^ACU^RX^^suv^^^
350Z (Z33)^Nissan^350Z (Z33) | 2002-2009^Nissan[350Z (Z33) | 2002-2009^NIS^35^^coupé^^Nissan 350Z^
370Z (Z34)^Nissan^370Z (Z34) | 2009-present^Nissan[370Z (Z34) | 2009-present^NIS^37^^coupé & cabriolet^^Nissan 370Z^
370Z Roadster (Z34)^Nissan^370Z (Z34) | 2009-present^Nissan[370Z (Z34) | 2009-present^NIS^37^^coupé & cabriolet^^Nissan Almera^
Almera (N15)^Nissan^Almera (N15) | 1995-2000^Nissan[Almera (N15) | 1995-2000^NIS^AL^^4d & 5d^^Nissan Almera^
Almera (N16)^Nissan^Almera (N16) | 2000-2006^Nissan[Almera (N16) | 2000-2006^NIS^AL^^3d & 4d & 5d^^Nissan Almera^
Almera Classic (B10)^Nissan^Almera Classic (B10) | 2006-2010^Nissan[Almera Classic (B10) | 2006-2010^NIS^AL^For models without roof rails^4d^^Nissan Almera^
Almera Tino^Nissan^Almera Tino | 2000-2006^Nissan[Almera Tino | 2000-2006^NIS^AT^^mpv^^Nissan Almera Tino^
Ariya^Nissan^Ariya | 2022-present^Nissan[Ariya | 2022-present^NIS^AR^^suv^^Nissan Ariya^
Bluebird (U12)^Nissan^Bluebird (U12) | 1987-1991^Nissan[Bluebird (U12) | 1987-1991^NIS^BB^^4d & wagon^^Nissan^
CrossCabriolet (Z51)^Nissan^CrossCabriolet (Z51) | 2011-2015^Nissan[CrossCabriolet (Z51) | 2011-2015^NIS^CR^^2d^^Nissan^
Cube II (Z11)^Nissan^Cube II (Z11) | 2002-2008^Nissan[Cube II (Z11) | 2002-2008^NIS^CU^For models without roof rails^5d^^Nissan^
Cube^Nissan^Cube III | 2009-2011^Nissan[Cube III | 2009-2011^NIS^CU^For models without roof rails^mpv^^Nissan^
Cube III^Nissan^Cube III | 2009-2011^Nissan[Cube III | 2009-2011^NIS^CU^For models without roof rails; Mounting on fixed mounting points^mpv^^Nissan^
F23^Nissan^F23 - NT400| 1998-2006^Nissan[F23 - NT400| 1998-2006^NIS^NT^^truck^^Nissan^
F24^Nissan^F24 - NT400 | 2007-2013^Nissan[F24 - NT400 | 2007-2013^NIS^NT^^truck^^Nissan^
Interstar^Nissan^Interstar | 2003-2010^Nissan[Interstar | 2003-2010^NIS^IS^For models without roof rails^van^^Nissan Interstar^
Interstar II^Nissan^NV400 - Interstar II | 2010-2024^Nissan[NV400 - Interstar II | 2010-2024^NIS^IS^For models without roof rails^van^^Nissan Interstar^
Interstar III^Nissan^Interstar III | 2024-present^Nissan[Interstar III | 2024-present^NIS^IS^For models without roof rails^van^^Nissan Interstar^
Juke (F15)^Nissan^Juke (F15) | 2010-2019^Nissan[Juke (F15) | 2010-2019^NIS^JU^For models without roof rails^suv^^Nissan Juke^
Juke (F16)^Nissan^Juke (F16) | 2019-present^Nissan[Juke (F16) | 2019-present^NIS^JU^For models without roof rails; Mounting on fixed mounting points^suv^^Nissan Juke^
Kubistar I^Nissan^Kubistar I | 1997-2007^Nissan[Kubistar I | 1997-2007^NIS^KU^^van^^Nissan^
Leaf (CZ0)^Nissan^Leaf (ZE0) | 2010-2017^Nissan[Leaf (ZE0) | 2010-2017^NIS^LE^^5d^^Nissan Leaf^
Leaf (CZ0) Comfort Pack^Nissan^Leaf (ZE0) | 2010-2017^Nissan[Leaf (ZE0) | 2010-2017^NIS^LE^^5d^^Nissan Leaf^
Leaf (ZE1)^Nissan^Leaf (ZE1) | 2017-2025^Nissan[Leaf (ZE1) | 2017-2025^NIS^LE^^5d^^Nissan Leaf^
Leaf (ZE2)^Nissan^Leaf (ZE2) | 2025-present^Nissan[Leaf (ZE2) | 2025-present^NIS^LE^^5d^^Nissan Leaf^
Maxima (A32)^Nissan^Maxima (A32) | 1995-2000^Nissan[Maxima (A32) | 1995-2000^NIS^MA^^4d^^Nissan^
Maxima (A33)^Nissan^Maxima (A33) | 2000-2004^Nissan[Maxima (A33) | 2000-2004^NIS^MA^^4d^^Nissan^
Maxima (J30)^Nissan^Maxima (J30) | 1988-1994^Nissan[Maxima (J30) | 1988-1994^NIS^MA^^4d^^Nissan^
Micra (K10)^Nissan^Micra (K10) | 1982-1992^Nissan[Micra (K10) | 1982-1992^NIS^MI^^5d^^Nissan Micra^
Micra (K11)^Nissan^Micra (K11) | 1992-2002^Nissan[Micra (K11) | 1992-2002^NIS^MI^^3d & 5d^^Nissan Micra^
Micra (K12)^Nissan^Micra (K12) | 2002-2010^Nissan[Micra (K12) | 2002-2010^NIS^MI^^3d & 5d^^Nissan Micra^
Micra C+C (K12)^Nissan^Micra (K12) | 2002-2010^Nissan[Micra (K12) | 2002-2010^NIS^MI^^cabriolet^^Nissan Micra^
Micra (K13)^Nissan^Micra (K13) | 2010-2017^Nissan[Micra (K13) | 2010-2017^NIS^MI^^3d & 5d^^Nissan Micra^
Micra (K14)^Nissan^Micra (K14) | 2017-2022^Nissan[Micra (K14) | 2017-2022^NIS^MI^^3d & 5d^^Nissan Micra^
Micra (K15)^Nissan^Micra (K15) | 2025-present^Nissan[Micra (K15) | 2025-present^NIS^MI^^5d^^Nissan Micra^
Murano (Z50)^Nissan^Murano (Z50) | 2002-2008^Nissan[Murano (Z50) | 2002-2008^NIS^MU^^suv^^Nissan Murano^
Murano (Z51)^Nissan^Murano (Z51) | 2008-2015^Nissan[Murano (Z51) | 2008-2015^NIS^MU^^suv^^Nissan Murano^
Murano (Z52)^Nissan^Murano (Z52) | 2015-present^Nissan[Murano (Z52) | 2015-present^NIS^MU^^suv^^Nissan Murano^
Murano CrossCabrio (Z51)^Nissan^Murano (Z51) | 2008-2015^Nissan[Murano (Z51) | 2008-2015^NIS^MU^^2d^^Nissan Murano^
Navara (D22)^Nissan^Navara (D22) | 1997-2004^Nissan[Navara (D22) | 1997-2004^NIS^NA^^pickup^^Nissan Navara^
Navara (D40)^Nissan^Navara (D40) | 2004-2014^Nissan[Navara (D40) | 2004-2014^NIS^NA^^pickup^^Nissan Navara^
Navara DC (D40)^Nissan^Navara (D40) | 2004-2014^Nissan[Navara (D40) | 2004-2014^NIS^NA^^pickup^^Nissan Navara^
Navara King Cab (D40)^Nissan^Navara (D40) | 2004-2014^Nissan[Navara (D40) | 2004-2014^NIS^NA^For models without roof rails^pickup^^Nissan Navara^
Navara NP300 (D23)^Nissan^Navara NP300 (D23) | 2016-2021^Nissan[Navara NP300 (D23) | 2016-2021^NIS^NA^^pickup^^Nissan Navara NP300^
Note (E11)^Nissan^Note (E11) | 2006-2013^Nissan[Note (E11) | 2006-2013^NIS^NO^^mpv^^Nissan Note^
Note (E12)^Nissan^Note (E12) | 2013-present^Nissan[Note (E12) | 2013-present^NIS^NO^For models without roof rails; Mounting on fixed mounting points^mpv^^Nissan Note^
NV200 Evalia^Nissan^NV200 - e-NV200 | 2010-2021^Nissan[NV200 - e-NV200 | 2010-2021^NIS^NV^For models without roof rails; Mounting on fixed mounting points^mpv^^Nissan Evalia^
NV200^Nissan^NV200 - e-NV200 | 2010-2021^Nissan[NV200 - e-NV200 | 2010-2021^NIS^NV^^mpv^^Nissan NV200^
e-NV200^Nissan^NV200 - e-NV200 | 2010-2021^Nissan[NV200 - e-NV200 | 2010-2021^NIS^NV^^mpv^^Nissan NV200^
NT400^Nissan^NT400 | 2014-present^Nissan[NT400 | 2014-present^NIS^NT^^truck^^Nissan^
NV250^Nissan^NV250 | 2019-2021^Nissan[NV250 | 2019-2021^NIS^NV^^van & mpv^^Nissan^
NV300^Nissan^NV300 - Primastar II | 2016-present^Nissan[NV300 - Primastar II | 2016-present^NIS^NV^^van^^Nissan NV300^
NV300 - Primastar II^Nissan^NV300 - Primastar II | 2016-present^Nissan[NV300 - Primastar II | 2016-present^NIS^NV^^van^^Nissan NV300^
NV400^Nissan^NV400 - Interstar II | 2010-2024^Nissan[NV400 - Interstar II | 2010-2024^NIS^NV^^van^^Nissan NV400^
NV400 - Interstar II^Nissan^NV400 - Interstar II | 2010-2024^Nissan[NV400 - Interstar II | 2010-2024^NIS^NV^^van^^Nissan NV400^
Pathfinder II^Nissan^Pathfinder II | 1995-2005^Nissan[Pathfinder II | 1995-2005^NIS^PF^^suv^^Nissan Pathfinder^
Pathfinder III^Nissan^Pathfinder III | 2005-2012^Nissan[Pathfinder III | 2005-2012^NIS^PF^^suv^^Nissan Pathfinder^
Pathfinder IV^Nissan^Pathfinder IV | 2012-present^Nissan[Pathfinder IV | 2012-present^NIS^PF^^suv^^Nissan Pathfinder^
Patrol GR I (Y60)^Nissan^Patrol GR I (Y60) | 1987-1998^Nissan[Patrol GR I (Y60) | 1987-1998^NIS^PA^^pickup^^Nissan Patrol^
Patrol GR II (Y61)^Nissan^Patrol GR II (Y61) | 1998-2010^Nissan[Patrol GR II (Y61) | 1998-2010^NIS^PA^^pickup^^Nissan Patrol^
Pixo^Nissan^Pixo | 2009-2013^Nissan[Pixo | 2009-2013^NIS^PI^^5d^^Nissan Pixo^
Prairie (M11)^Nissan^Prairie (M11) | 1988-1998^Nissan[Prairie (M11) | 1988-1998^NIS^PE^^mpv^^Nissan^
Primastar I^Nissan^Primastar I | 2002-2016^Nissan[Primastar I | 2002-2016^NIS^PS^^van^^Nissan Primastar^
Primastar II^Nissan^NV300 - Primastar II | 2016-present^Nissan[NV300 - Primastar II | 2016-present^NIS^PS^^van^^Nissan Primastar^
Primera (P10)^Nissan^Primera (P10) | 1991-1996^Nissan[Primera (P10) | 1991-1996^NIS^PR^^4d & 5d & wagon^^Nissan Primera^
Primera (P11)^Nissan^Primera (P11) | 1996-2001^Nissan[Primera (P11) | 1996-2001^NIS^PR^^4d & 5d & wagon^^Nissan Primera^
Primera (P12)^Nissan^Primera (P12) | 2001-2008^Nissan[Primera (P12) | 2001-2008^NIS^PR^^4d & 5d & wagon^^Nissan Primera^
Pulsar (C13)^Nissan^Pulsar (C13) | 2014-2018^Nissan[Pulsar (C13) | 2014-2018^NIS^PU^For models without roof rails^5d^^Nissan Pulsar^
Qashqai (J10)^Nissan^Qashqai (J10) | 2007-2013^Nissan[Qashqai (J10) | 2007-2013^NIS^QA^^suv^^Nissan Qashqai J10^
Qashqai+2 (J10)^Nissan^Qashqai+2 (J10) | 2008-2013^Nissan[Qashqai+2 (J10) | 2008-2013^NIS^QA^For models without roof rails^suv^^Nissan Qashqai J10^
Qashqai (J11)^Nissan^Qashqai (J11) | 2013-2021^Nissan[Qashqai (J11) | 2013-2021^NIS^QA^^suv^^Nissan Qashqai J11^
Qashqai (J12)^Nissan^Qashqai (J12) | 2021-present^Nissan[Qashqai (J12) | 2021-present^NIS^QA^^suv^^Nissan Qashqai J12^
Qashqai e-POWER (J12)^Nissan^Qashqai (J12) | 2021-present^Nissan[Qashqai (J12) | 2021-present^NIS^QA^^suv^^Nissan Qashqai J12^
Serena (C23)^Nissan^Vanette III (HC23) - Serena (C23) | 1995-2001^Nissan[Vanette III (HC23) - Serena (C23) | 1995-2001^NIS^SE^^van & mpv^^Nissan^
Sunny (N14)^Nissan^Sunny (N14) | 1990-1995^Nissan[Sunny (N14) | 1990-1995^NIS^SU^^3d & 5d & wagon^^Nissan^
Terrano I (WD21)^Nissan^Terrano I | 1987-1995^Nissan[Terrano I | 1987-1995^NIS^TE^For models without roof rails^suv^^Nissan Terrano^
Terrano II (R20)^Nissan^Terrano II | 1993-2006^Nissan[Terrano II | 1993-2006^NIS^TE^^suv^^Nissan Terrano^
Tiida - Versa - Latio (C11)^Nissan^Tiida - Versa - Latio (C11) | 2004-2011^Nissan[Tiida - Versa - Latio (C11) | 2004-2011^NIS^TA^^4d & 5d^^Nissan^
Tiida - Versa - Latio (C12)^Nissan^Tiida - Versa - Latio (C12) | 2011-present^Nissan[Tiida - Versa - Latio (C12) | 2011-present^NIS^TA^^4d & 5d^^Nissan^
Titan I^Nissan^Titan I | 2003-2015^Nissan[Titan I | 2003-2015^NIS^TI^^pickup^^Nissan^
Townstar^Nissan^Townstar | 2021-present^Nissan[Townstar | 2021-present^NIS^TO^^van & mpv^^Nissan Townstar^
Townstar E-Tech^Nissan^Townstar | 2021-present^Nissan[Townstar | 2021-present^NIS^TO^^van & mpv^^Nissan Townstar^
Urvan - Caravan^Nissan^Urvan - Caravan | 1986-2001^Nissan[Urvan - Caravan | 1986-2001^NIS^UR^^van^^Nissan^
Vanette Cargo III (HC23)^Nissan^Vanette III (HC23) - Serena (C23) | 1995-2001^Nissan[Vanette III (HC23) - Serena (C23) | 1995-2001^NIS^VA^^van^^Nissan^
Vanette II (C22)^Nissan^Vanette II (C22) | 1988-1994^Nissan[Vanette II (C22) | 1988-1994^NIS^VA^^van^^Nissan^
X-Trail I (T30)^Nissan^X-Trail I (T30) | 2003-2007^Nissan[X-Trail I (T30) | 2003-2007^NIS^XT^^suv^^Nissan X-Trail^
X-Trail II (T31)^Nissan^X-Trail II (T31) | 2007-2013^Nissan[X-Trail II (T31) | 2007-2013^NIS^XT^For models without roof rails; Mounting on fixed mounting points^suv^^Nissan X-Trail^
X-Trail III (T32)^Nissan^X-Trail III (T32) | 2013-2021^Nissan[X-Trail III (T32) | 2013-2021^NIS^XT^^suv^^Nissan X-Trail^
X-Trail IV (T33)^Nissan^X-Trail IV (T33) | 2021-present^Nissan[X-Trail IV (T33) | 2021-present^NIS^XT^^suv^^Nissan X-Trail^
EC6^NIO^EC6 | 2020-present^NIO[EC6 | 2020-present^NIO^EC6^^suv^^^
EC7^NIO^EC7 | 2023-present^NIO[EC7 | 2023-present^NIO^EC6^^suv^^^
EL6^NIO^EL6 | 2023-present^NIO[EL6 | 2023-present^NIO^L6^^suv^^^
EL7^NIO^EL7 | 2022-present^NIO[EL7 | 2022-present^NIO^L7^^4d^^^
EL8^NIO^EL8 | 2023-present^NIO[EL8 | 2023-present^NIO^L8^^suv^^^
ET5 Sedan^NIO^ET5 | 2022-present^NIO[ET5 | 2022-present^NIO^T5^^4d^^^
ET5 Touring^NIO^ET5 | 2022-present^NIO[ET5 | 2022-present^NIO^T5^^wagon^^^
ET7^NIO^ET7 | 2022-present^NIO[ET7 | 2022-present^NIO^T7^^4d^^^
Adam^Opel^Adam | 2013-2019^Opel[Adam | 2013-2019^OPE^AD^^3d^^Opel Adam^
Agila A^Opel^Agila A | 2000-2007^Opel[Agila A | 2000-2007^OPE^AG^^5d^^Opel Agila A^
Agila B^Opel^Agila B | 2008-2015^Opel[Agila B | 2008-2015^OPE^AG^^5d^^Opel^
Ampera^Opel^Ampera | 2012-2016^Opel[Ampera | 2012-2016^OPE^AM^^5d^^Opel Ampera^
Ampera-e^Opel^Ampera-e | 2016-present^Opel[Ampera-e | 2016-present^OPE^AM^^mpv^^Opel Ampera -e^
Antara^Opel^Antara | 2006-2015^Opel[Antara | 2006-2015^OPE^AN^^suv^^Opel Antara^
Ascona C^Opel^Ascona C | 1981-1988^Opel[Ascona C | 1981-1988^OPE^AC^^wagon^^Opel^
Astra F^Opel^Astra F | 1991-1998^Opel[Astra F | 1991-1998^OPE^AS^^2d & 3d & 5d^^Opel Astra F^
Astra F Caravan^Opel^Astra F | 1991-1998^Opel[Astra F | 1991-1998^OPE^AS^For models without roof rails^wagon^^Opel Astra F^
Astra G^Opel^Astra G | 1998-2004^Opel[Astra G | 1998-2004^OPE^AS^^3d & 5d^^Opel Astra G^
Astra G - Classic^Opel^Astra G | 1998-2004{Opel[Astra Classic | 2004-2009^Opel[Astra G | 1998-2004{Opel[Astra Classic | 2004-2009^OPE^AS^For models without roof rails^4d^^Opel Astra G^
Astra G Caravan^Opel^Astra G | 1998-2004^Opel[Astra G | 1998-2004^OPE^AS^For models without roof rails^wagon^^Opel Astra G^
Astra G Coupé ^Opel^Astra G | 1998-2004^Opel[Astra G | 1998-2004^OPE^AS^^2d^^Opel Astra G^
Astra G Cabriolet^Opel^Astra G | 1998-2004^Opel[Astra G | 1998-2004^OPE^AS^For models without roof rails; Mounting on fixed mounting points^2d^^Opel Astra G^
Astra H^Opel^Astra H | 2004-2010^Opel[Astra H | 2004-2010^OPE^AS^For models without roof rails; Mounting on fixed mounting points^3d & 5d^^Opel Astra H^
Astra H Caravan^Opel^Astra H | 2004-2010^Opel[Astra H | 2004-2010^OPE^AS^For models without roof rails; Mounting on fixed mounting points^wagon^^Opel Astra H^
Astra H GTC^Opel^Astra H | 2004-2010^Opel[Astra H | 2004-2010^OPE^AS^^coupé^^Opel Astra H^
Astra H TwinTop^Opel^Astra H TwinTop | 2007-2010^Opel[Astra H TwinTop | 2007-2010^OPE^AS^^cabriolet^^Opel Astra H^
Astra H van^Opel^Astra H van | 2007-2014^Opel[Astra H van | 2007-2014^OPE^AS^^van^^Opel Astra H^
Astra J^Opel^Astra J | 2009-2015^Opel[Astra J | 2009-2015^OPE^AS^^5d^^Opel Astra J^
Astra J GTC^Opel^Astra J GTC | 2012-2018^Opel[Astra J GTC | 2012-2018^OPE^AS^^3d^^Opel Astra J^
Astra J Notchback^Opel^Astra J Notchback | 2012-2018^Opel[Astra J Notchback | 2012-2018^OPE^AS^^4d^^Opel Astra J^
Astra J Sports Tourer^Opel^Astra J Sports Tourer | 2010-2015^Opel[Astra J Sports Tourer | 2010-2015^OPE^AS^^wagon^^Opel Astra J^
Astra K^Opel^Astra K | 2015-2021^Opel[Astra K | 2015-2021^OPE^AS^For models without roof rails^3d & 5d^^Opel Astra K^
Astra K Sports Tourer^Opel^Astra K Sports Tourer | 2015-2021^Opel[Astra K Sports Tourer | 2015-2021^OPE^AS^^wagon^^Opel Astra K^
Astra L^Opel^Astra L | 2021-present^Opel[Astra L | 2021-present^OPE^AS^For models without roof rails^5d^^Opel Astra L^
Astra L Sports Tourer^Opel^Astra L Sports Tourer | 2021-present^Opel[Astra L Sports Tourer | 2021-present^OPE^AS^For models without roof rails^wagon^^Opel Astra L^
Calibra^Opel^Calibra | 1989-1997^Opel[Calibra | 1989-1997^OPE^CA^^coupé^^Opel Calibra^
Campo^Opel^Campo | 1991-2002^Opel[Campo | 1991-2002^OPE^CP^^2d & 4d^^Opel^
Cascada^Opel^Cascada | 2013-2019^Opel[Cascada | 2013-2019^OPE^CS^^cabriolet^^Opel Cascada^
Kadett Combo - Combo A^Opel^Kadett Combo - Combo A | 1986-1993^Opel[Kadett Combo - Combo A | 1986-1993^OPE^CM^^van & mpv^^Opel Combo^
Combo B^Opel^Combo B | 1993-2001^Opel[Combo B | 1993-2001^OPE^CM^^van^^Opel Combo B^
Combo C^Opel^Combo C | 2001-2011^Opel[Combo C | 2001-2011^OPE^CM^^van^^Opel Combo^
Combo C Cargo^Opel^Combo C | 2001-2011^Opel[Combo C | 2001-2011^OPE^CM^^van^^Opel Combo^
Combo C Tour^Opel^Combo C | 2001-2011^Opel[Combo C | 2001-2011^OPE^CM^For models without roof rails; Mounting on fixed mounting points^mpv^^Opel Combo^
Combo D^Opel^Combo D | 2011-2018^Opel[Combo D | 2011-2018^OPE^CM^For models without roof rails; Mounting on fixed mounting points^van & mpv^^Opel Combo D^
Combo D Cargo^Opel^Combo D | 2011-2018^Opel[Combo D | 2011-2018^OPE^CM^For models without roof rails; Mounting on fixed mounting points^van^^Opel Combo D^
Combo D Tour^Opel^Combo D | 2011-2018^Opel[Combo D | 2011-2018^OPE^CM^^mpv^^Opel Combo D^
Combo E^Opel^Combo E | 2018-present^Opel[Combo E | 2018-present^OPE^CM^^van^^Opel Combo^
Combo E Life^Opel^Combo E | 2018-present^Opel[Combo E | 2018-present^OPE^CM^^mpv^^Opel Combo E Life^
Combo E - Combo E Life^Opel^Combo E | 2018-present^Opel[Combo E | 2018-present^OPE^CM^^van & mpv^^Opel Combo E Life^
Combo E Tour^Opel^Combo E | 2018-present^Opel[Combo E | 2018-present^OPE^CM^^mpv^^Opel Combo^
Combo E Cargo^Opel^Combo E | 2018-present^Opel[Combo E | 2018-present^OPE^CM^^van^^Opel Combo^
Corsa A^Opel^Corsa A | 1982-1993^Opel[Corsa A | 1982-1993^OPE^CO^^2d & 4d^^Opel Corsa^
Corsa A^Opel^Corsa A | 1982-1993^Opel[Corsa A | 1982-1993^OPE^CO^^3d & 5d^^Opel Corsa^
Corsa B^Opel^Corsa B | 1993-2000^Opel[Corsa B | 1993-2000^OPE^CO^^3d & 5d^^Opel Corsa^
Corsa B^Opel^Corsa B | 1993-2000^Opel[Corsa B | 1993-2000^OPE^CO^^4d & wagon^^Opel Corsa^
Corsa B^Opel^Corsa B | 1993-2000^Opel[Corsa B | 1993-2000^OPE^CO^^pickup^^Opel Corsa^
Corsa C^Opel^Corsa C | 2000-2006^Opel[Corsa C | 2000-2006^OPE^CO^^3d & 4d & 5d^^Opel Corsa^
Corsa C^Opel^Corsa C | 2000-2006^Opel[Corsa C | 2000-2006^OPE^CO^^van^^Opel Corsa^
Corsa C^Opel^Corsa C | 2000-2006^Opel[Corsa C | 2000-2006^OPE^CO^^pickup^^Opel Corsa^
Corsa D^Opel^Corsa D | 2006-2014^Opel[Corsa D | 2006-2014^OPE^CO^^3d & 5d^^Opel Corsa^
Corsa D^Opel^Corsa D | 2006-2014^Opel[Corsa D | 2006-2014^OPE^CO^^van^^Opel Corsa^
Corsa D OPC^Opel^Corsa D | 2006-2014^Opel[Corsa D | 2006-2014^OPE^CO^^3d^^Opel Corsa^
Corsa E^Opel^Corsa E | 2014-2019^Opel[Corsa E | 2014-2019^OPE^CO^^3d & 5d^^Opel Corsa^
Corsa E^Opel^Corsa E | 2014-2019^Opel[Corsa E | 2014-2019^OPE^CO^^van^^Opel Corsa^
Corsa F^Opel^Corsa F | 2019-present^Opel[Corsa F | 2019-present^OPE^CO^For models without roof rails^5d^^Opel Corsa F^
Crossland X^Opel^Crossland X | 2017-present^Opel[Crossland X | 2017-present^OPE^CR^^suv^^Opel Crossland^
Frontera I^Opel^Frontera I | 1991-1998^Opel[Frontera I | 1991-1998^OPE^FR^^suv^^Opel^
Frontera II^Opel^Frontera II | 1998-2004^Opel[Frontera II | 1998-2004^OPE^FR^^suv^^Opel^
Frontera II Sport^Opel^Frontera II | 1998-2004^Opel[Frontera II | 1998-2004^OPE^FR^For models without roof rails^suv^^Opel^
Frontera III^Opel^Frontera III | 2024-present^Opel[Frontera III | 2024-present^OPE^FR^^suv^^Opel^
Frontera III Electric^Opel^Frontera III | 2024-present^Opel[Frontera III | 2024-present^OPE^FR^^suv^^Opel^
Grandland X^Opel^Grandland X | 2017-2024^Opel[Grandland X | 2017-2024^OPE^GR^^suv^^Opel Grandland^
Grandland II^Opel^Grandland II | 2024-present^Opel[Grandland II | 2024-present^OPE^GR^^suv^^Opel Grandland^
GT^Opel^GT | 2007-2009^Opel[GT | 2007-2009^OPE^GT^^cabriolet^^Opel^
GT Roadster^Opel^GT | 2007-2009^Opel[GT | 2007-2009^OPE^GT^^cabriolet^^Opel^
Insignia A^Opel^Insignia A | 2008-2017^Opel[Insignia A | 2008-2017^OPE^IN^^4d & 5d^^Opel Insignia^
Insignia A Sports Tourer^Opel^Insignia A Sports Tourer | 2009-2017^Opel[Insignia A Sports Tourer | 2009-2017^OPE^IN^^wagon^^Opel Insignia^
Insignia B Grand Sport^Opel^Insignia B Grand Sport | 2017-2022^Opel[Insignia B Grand Sport | 2017-2022^OPE^IN^^5d^^Opel Insignia^
Insignia B Sports Tourer^Opel^Insignia B Sports Tourer | 2017-2022^Opel[Insignia B Sports Tourer | 2017-2022^OPE^IN^^wagon^^Opel Insignia^
Kadett D^Opel^Kadett D | 1979-1984^Opel[Kadett D | 1979-1984^OPE^KD^^2d & 3d & 5d^^Opel^
Kadett D^Opel^Kadett D | 1979-1984^Opel[Kadett D | 1979-1984^OPE^KD^^4d & wagon^^Opel^
Kadett E^Opel^Kadett E | 1984-1991^Opel[Kadett E | 1984-1991^OPE^KD^^2d & 4d^^Opel^
Kadett E^Opel^Kadett E | 1984-1991^Opel[Kadett E | 1984-1991^OPE^KD^^3d & 5d^^Opel^
Karl^Opel^Karl | 2015-2019^Opel[Karl | 2015-2019^OPE^KA^^5d^^Opel Karl^
Karl Rocks^Opel^Karl | 2015-2019^Opel[Karl | 2015-2019^OPE^KA^^5d^^Opel^
Manta A^Opel^Manta A | 1970-1975^Opel[Manta A | 1970-1975^OPE^MA^For models without roof rails^coupé^^Opel^
Meriva A^Opel^Meriva A | 2003-2010^Opel[Meriva A | 2003-2010^OPE^ME^For models without roof rails^mpv^^Opel Meriva^
Meriva B^Opel^Meriva B | 2010-2017^Opel[Meriva B | 2010-2017^OPE^ME^^mpv^^Opel Meriva^
Mokka^Opel^Mokka - Mokka X | 2012-2019^Opel[Mokka - Mokka X | 2012-2019^OPE^MK^^suv^^Opel Mokka^
Mokka - Mokka X^Opel^Mokka - Mokka X | 2012-2019^Opel[Mokka - Mokka X | 2012-2019^OPE^MK^^suv^^Opel Mokka^
Mokka X^Opel^Mokka - Mokka X | 2012-2019^Opel[Mokka - Mokka X | 2012-2019^OPE^MK^^suv^^Opel Mokka^
Mokka B^Opel^Mokka B | 2020-present^Opel[Mokka B | 2020-present^OPE^MK^^suv^^Opel Mokka^
Movano A^Opel^Movano A | 1998-2010^Opel[Movano A | 1998-2010^OPE^MO^^van & mpv^^Opel Movano^
Movano B^Opel^Movano B | 2010-2021^Opel[Movano B | 2010-2021^OPE^MO^^van & mpv^^Opel Movano^
Movano C^Opel^Movano C | 2021-present^Opel[Movano C | 2021-present^OPE^MO^^van & mpv^^Opel Movano^
Movano Electric^Opel^Movano C | 2021-present^Opel[Movano C | 2021-present^OPE^MO^^van & mpv^^Opel Movano^
Omega A^Opel^Omega A | 1986-1994^Opel[Omega A | 1986-1994^OPE^OM^^4d^^Opel Omega^
Omega A Caravan^Opel^Omega A | 1986-1994^Opel[Omega A | 1986-1994^OPE^OM^^wagon^^Opel Omega^
Omega B^Opel^Omega B | 1994-2003^Opel[Omega B | 1994-2003^OPE^OM^^4d^^Opel Omega^
Omega B Caravan^Opel^Omega B | 1994-2003^Opel[Omega B | 1994-2003^OPE^OM^^wagon^^Opel Omega^
Rocks-e^Opel^Rocks-e - Rocks Electric | 2021-present^Opel[Rocks-e - Rocks Electric | 2021-present^OPE^RO^^coupé^^^
Rocks Electric^Opel^Rocks-e - Rocks Electric | 2021-present^Opel[Rocks-e - Rocks Electric | 2021-present^OPE^RO^^coupé^^^
Senator B^Opel^Senator B | 1986-1994^Opel[Senator B | 1986-1994^OPE^SE^^4d^^Opel^
Signum^Opel^Signum | 2003-2009^Opel[Signum | 2003-2009^OPE^SI^^5d^^Opel Signum^
Sintra^Opel^Sintra | 1996-1999^Opel[Sintra | 1996-1999^OPE^ST^^mpv^^Opel^
Tigra A^Opel^Tigra A | 1994-2000^Opel[Tigra A | 1994-2000^OPE^TI^^coupé^^Opel Tigra^
Tigra TwinTop B^Opel^Tigra TwinTop B | 2004-2009^Opel[Tigra TwinTop B | 2004-2009^OPE^TI^^cabriolet^^Opel Tigra^
Vectra A^Opel^Vectra A | 1988-1996^Opel[Vectra A | 1988-1996^OPE^VE^^4d & 5d^^Opel Vectra^
Vectra B^Opel^Vectra B | 1996-2002^Opel[Vectra B | 1996-2002^OPE^VE^^4d & 5d^^Opel Vectra^
Vectra B Caravan^Opel^Vectra B | 1996-2002^Opel[Vectra B | 1996-2002^OPE^VE^^wagon^^Opel Vectra^
Vectra C^Opel^Vectra C | 2002-2008^Opel[Vectra C | 2002-2008^OPE^VE^^4d & 5d^^Opel Vectra^
Vectra C Caravan^Opel^Vectra C | 2002-2008^Opel[Vectra C | 2002-2008^OPE^VE^^wagon^^Opel Vectra^
